id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
20dd9081-7999-4ee5-8b26-9eb8a58e5a16,Latinalphabet.makeup,available,1.65,15.75,high,low,14,namesilo,,
edc855b5-5521-409b-a3b3-708b69a83d6b,eremitical.makeup,available,,,medium,low,10,,,
6cb61735-5080-4529-9b4e-9a70b061f788,irritated.makeup,available,,,low,low,9,,,
2f08a320-45be-455d-9ee2-ef9de5a50782,bantam.makeup,available,,,medium,low,6,,,
324247fb-82e4-4e16-8f71-744c91168ea5,interviewee.makeup,available,1.65,15.75,medium,low,11,namesilo,,
e20e5e66-c8b3-4fe5-b25c-ee3b690d2f64,conveyable.makeup,available,,,medium,low,10,,,
b41df0e1-0a21-4ce0-a239-9b2624412d2b,defense.makeup,available,1.99,,high,low,7,name.com,,
1af38d2d-5d6d-44d3-80f2-4b2642662ac7,ratter.makeup,available,,,low,low,6,,,
e90250ac-c60f-4635-ad52-fe4dcb04bab1,howtheturntables.makeup,available,1.65,15.75,medium,low,18,namesilo,,
0281cc99-85a7-430a-b49d-b89040663e9c,produced.makeup,available,1.65,15.75,low,low,8,namesilo,,
86ab76bd-2322-419c-b4f5-9070d1d7ca4a,continuously.makeup,available,1.65,15.75,medium,low,12,namesilo,,
0c8f7530-a399-4a4f-8533-de82a3538509,tell.makeup,available,1.65,15.75,high,low,4,namesilo,,
864a7188-6b7b-4e5e-a63b-221ad9f3b084,Germanpizza.makeup,available,1.99,,high,low,12,name.com,,
21d3ae09-f029-4dad-ab29-8ff98ab8642e,alltime.makeup,available,1.99,20.99,high,low,8,name.com,,
5baf5a64-9ec9-4a86-b014-b3fe70614ead,grubby.makeup,available,,,medium,low,6,,,
c51bb3d4-bbb2-4f59-a35e-ca848e0c2c52,starter.makeup,available,1.65,15.75,high,low,7,namesilo,,
14e863b7-b4a4-43d9-a2f1-b57656118b4a,genial.makeup,available,1.99,20.99,high,low,6,name.com,,
81d9f6ef-0385-4377-a78f-0ac3096813e4,request.makeup,available,1.65,15.75,high,low,7,namesilo,,
301482fc-9ca8-4a84-9e11-f733f19fcbbd,hearable.makeup,available,,,medium,low,8,,,
6dd2002a-f582-4148-b627-6d12485f6468,onec.makeup,available,1.65,15.75,low,low,5,namesilo,,
47ad509d-413e-4e33-ad04-2c708da54eed,approach.makeup,available,,,high,low,8,,,
34454c91-c739-492b-9768-fa3cbf2ed18f,weave.makeup,available,1.99,,high,low,5,name.com,,
f44fea03-4541-4bc5-83c3-4f1e417841bb,location.makeup,available,,,high,low,8,,,
7dd19f05-1048-4e63-a236-35470aecd2b7,apodal.makeup,available,,,medium,low,6,,,
986972b2-f9e7-4c04-9a62-62413ff60b5c,alleviated.makeup,available,,,medium,low,10,,,
88d09898-0232-4746-90f3-fcdfc0e92742,browse.makeup,premium,2500,,high,low,6,name.com,,
418788fa-f98b-4719-8bf9-ed36e2fddc22,tiny.makeup,available,1.65,15.75,medium,medium,4,namesilo,,
33c3fec9-f471-4f95-8f5b-6fb47ba44d0b,altaic.makeup,available,,,medium,low,6,,,
ee6234d6-f8dc-4a89-b289-03dcf0a40b63,soundout.makeup,available,1.65,15.75,low,low,9,namesilo,,
77623bf4-4c4e-497e-a140-d56d0f332e2a,trio.makeup,available,1.99,20.99,high,low,4,name.com,,
568a9baf-1a24-4d09-be06-1b85ced641d3,afghan.makeup,available,,,medium,low,6,,,
90c84e24-97ab-4d2a-ab60-71e1796d8c9d,domesticworker.makeup,available,1.99,,high,low,15,name.com,,
91312acb-adde-4adc-93d2-270170ad1dbd,creek.makeup,available,1.99,,high,low,5,name.com,,
d92a5bbc-8392-46c4-9204-9e567c53cec3,tradeunion.makeup,available,1.65,15.75,low,low,11,namesilo,,
cd13ab09-c42a-4135-875f-8f7b52c33a13,suv.makeup,available,1.65,15.75,high,low,3,namesilo,,
c91bf28b-e40c-457f-ae6b-0b1e49a8363a,canada.makeup,available,,,high,low,6,,,
e95b57c6-315f-465c-86e8-e03f1691c6b1,supportive.makeup,available,,,high,low,10,,,
07c7cafa-45d7-4549-a8f5-2d6544669e21,diplomat.makeup,available,1.65,15.75,high,low,8,namesilo,,
c3cc2266-ca73-463b-9f88-10de6f337f38,gobad.makeup,available,1.65,15.75,high,low,6,namesilo,,
32ece285-4d65-46cc-99b9-a6db8b6e96f9,throwabout.makeup,available,1.65,15.75,low,low,11,namesilo,,
08d8a897-bab6-4b76-8950-fa60dffa5196,pitfall.makeup,available,1.65,15.75,medium,low,7,namesilo,,
8638321e-cd22-4b90-82b9-478529d29b6e,senescent.makeup,available,,,medium,low,9,,,
d8585357-5025-483f-bca9-215b0fdae510,concertroom.makeup,available,1.65,15.75,medium,low,12,namesilo,,
5c2892ca-5e2d-4adc-a509-bce885edc084,jewbaiter.makeup,available,,,medium,low,10,,,
35605def-80b5-4bdc-b2a6-3434e8996c65,BBC.makeup,premium,812.5,,high,medium,3,name.com,,
0f9d251e-7bb9-437f-be64-41c98e3fceb1,actress.makeup,available,1.65,15.75,high,low,7,namesilo,,
105eb915-66f9-474b-83d9-ee21f44540a2,vindicated.makeup,available,,,medium,low,10,,,
73d5f722-2fdd-422d-8713-ee8a937cc570,technology.makeup,premium,845,845,high,low,10,namecheap,,
509a3858-cbb7-4160-b652-a0f869949cbe,vary.makeup,available,1.65,15.75,high,low,4,namesilo,,
8e7ef297-b933-45ed-894d-9e06205ac21f,closequarters.makeup,available,1.65,15.75,medium,low,14,namesilo,,
3464d171-7afe-47c7-815b-e1088508f7d8,hunger.makeup,available,1.65,15.75,high,low,6,namesilo,,
a186fc4f-3c14-4e44-b0c5-1e592bfb940b,thinktwice.makeup,available,1.65,15.75,medium,low,11,namesilo,,
6ffe5909-0dce-4eb3-9717-336f75482f97,Zulutime.makeup,available,1.99,,low,low,9,name.com,,
623fd201-a249-4749-9672-c58fb65ab82f,freshaspaint.makeup,available,1.65,15.75,medium,low,14,namesilo,,
b13698ff-7781-4981-bf3c-909b7576da0f,tomato.makeup,available,1.65,15.75,high,low,6,namesilo,,
b7b8bf77-ff33-4d8e-996c-f858b102875d,darken.makeup,available,1.65,15.75,high,low,6,namesilo,,
f34798de-6996-483a-a2fc-b057a092d4fa,section.makeup,available,1.65,15.75,high,low,7,namesilo,,
a130a0b4-e3dd-4ad3-b149-24b0ee448da9,turn.makeup,available,1.65,15.75,high,low,4,namesilo,,
3a1a15d6-6341-48b4-a705-4e52f64e6c89,parkingspot.makeup,available,1.65,15.75,high,low,12,namesilo,,
ef65ae56-55b3-4896-a55f-be295abd185e,detroit.makeup,premium,812.5,,medium,low,7,name.com,,
949b6987-8c33-47c0-87e5-4cb172c79382,describe.makeup,available,1.65,15.75,high,low,8,namesilo,,
5ffd4a7c-2266-4a96-93cc-dbfa81e7c0c5,alpine.makeup,available,,,high,low,6,,,
bef0e264-50d4-4c50-a84a-e3f574454a73,autogamous.makeup,available,,,medium,low,10,,,
a8bef1b6-876f-4733-a139-5bc636dba25d,playacting.makeup,available,,,medium,low,10,,,
